,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
151,7,10,5,0,1,140.00,9,caught,2,v New Zealand,Bengaluru,31 Aug 2012
152,DNB,-,-,-,-,-,-,-,4,v New Zealand,Bengaluru,31 Aug 2012
153,7,12,10,1,0,70.00,9,caught,1,v England,Ahmedabad,15 Nov 2012
154,DNB,-,-,-,-,-,-,-,4,v England,Ahmedabad,15 Nov 2012
155,11,19,11,1,1,100.00,10,caught,1,v England,Mumbai,23 Nov 2012
156,1,12,11,0,0,9.09,10,caught,3,v England,Mumbai,23 Nov 2012
157,6,23,21,1,0,28.57,9,lbw,1,v England,Kolkata,5 Dec 2012
158,0,6,4,0,0,0.00,9,lbw,3,v England,Kolkata,5 Dec 2012
159,0,2,1,0,0,0.00,9,lbw,1,v South Africa,Johannesburg,18 Dec 2013
160,29*,49,31,3,2,93.54,9,not out,3,v South Africa,Johannesburg,18 Dec 2013
161,0,4,2,0,0,0.00,9,caught,1,v South Africa,Durban,26 Dec 2013
162,3,68,41,0,0,7.31,9,lbw,3,v South Africa,Durban,26 Dec 2013
163,14,22,16,3,0,87.50,9,caught,2,v New Zealand,Auckland,6 Feb 2014
164,17,38,32,1,1,53.12,9,caught,4,v New Zealand,Auckland,6 Feb 2014
165,22,35,19,4,0,115.78,10,caught,2,v New Zealand,Wellington,14 Feb 2014
166,DNB,-,-,-,-,-,-,-,4,v New Zealand,Wellington,14 Feb 2014
